# F1130W
# photon
# Angstroems	Transmission JWST/MIRI/F1130W
  115329.99992370605   0.341   
  115389.99557495117   0.3394  
  115439.99671936035   0.3365  
  115500.00190734863   0.3334  
  115559.99755859375   0.3302  
  115620.00274658203   0.3266  
  115679.99839782715   0.3217  
  115729.99954223633   0.3169  
  115790.00473022461   0.3121  
  115850.00038146973   0.3056  
  115909.99603271484   0.2987  
  115970.00122070312   0.2919  
  116020.0023651123    0.2841  
  116079.99801635742   0.2749  
  116140.0032043457    0.2657  
  116199.99885559082   0.2565  
  116260.0040435791    0.2465  
  116309.99565124512   0.2364  
  116370.0008392334    0.2264  
  116429.99649047852   0.2161  
  116490.0016784668    0.2057  
  116549.99732971191   0.1952  
  116599.9984741211    0.1848  
  116660.00366210938   0.1747  
  116719.99931335449   0.1645  
  116780.00450134277   0.1544  
  116840.00015258789   0.1451  
  116890.00129699707   0.1364  
  116949.99694824219   0.1277  
  117010.00213623047   0.1192  
  117069.99778747559   0.1117  
  117130.00297546387   0.1042  
  117180.00411987305   0.0968  
  117239.99977111816   0.0902  
  117299.99542236328   0.0839  
  117360.00061035156   0.0777  
  117419.99626159668   0.0718  
  117469.99740600586   0.0671  
  117530.00259399414   0.0624  
  117589.99824523926   0.0577  
  117650.00343322754   0.0539  
  117709.99908447266   0.0503  
  117760.00022888184   0.0466  
  117819.99588012695   0.0433  
  117880.00106811523   0.0404  
  117939.99671936035   0.0374  
  118000.00190734863   0.0345  
  118050.00305175781   0.0322  
  118109.99870300293   0.0299  
  118170.00389099121   0.0276  
  118229.99954223633   0.0256  
  118290.00473022461   0.024   
  118339.99633789062   0.0224  
  118400.0015258789    0.0208  
  118459.99717712402   0.0194  
  118520.0023651123    0.0181  
  118579.99801635742   0.0168  
  118629.9991607666    0.0156  
  118690.00434875488   0.0146  
  118750.0             0.0135  
  118809.99565124512   0.0125  
  118870.0008392334    0.0117  
  118920.00198364258   0.0109  
  118979.9976348877    0.0101  
  119040.00282287598   0.0094  
  119099.9984741211    0.0088  
  119160.00366210938   0.0082  
  119209.99526977539   0.0076  
  119270.00045776367   0.0071  
  119329.99610900879   0.0066  
  119390.00129699707   0.0061  
  119449.99694824219   0.0057  
  119499.99809265137   0.0053  
  119560.00328063965   0.0049  
  119619.99893188477   0.0045  
  119680.00411987305   0.0042  
  119739.99977111816   0.004   
  119790.00091552734   0.0037  
  119849.99656677246   0.0034  
  119910.00175476074   0.0032  
  119969.99740600586   0.0029  
  120030.00259399414   0.0027  
  120080.00373840332   0.0025  
  120139.99938964844   0.0023  
  120200.00457763672   0.0021  
  120260.00022888184   0.002   
  120319.99588012695   0.0018  
  120369.99702453613   0.0017  
  120430.00221252441   0.0016  
  120489.99786376953   0.0015  
  120550.00305175781   0.0013  
  120609.99870300293   0.0012  
  120659.99984741211   0.0011  
  120719.99549865723   0.001   
  120780.00068664551   9.0E-4  
  120839.99633789062   9.0E-4  
  120900.0015258789    8.0E-4  
  120950.00267028809   7.0E-4  
  121009.9983215332    6.0E-4  
  121070.00350952148   6.0E-4  
  121129.9991607666    5.0E-4  
  121190.00434875488   5.0E-4  
  121239.9959564209    4.0E-4  
  121300.00114440918   4.0E-4  
  121359.9967956543    3.0E-4  
  121420.00198364258   3.0E-4  
  121479.9976348877    3.0E-4  
  121529.99877929688   2.0E-4  
  121590.00396728516   2.0E-4  
  121649.99961853027   2.0E-4  
  121709.99526977539   2.0E-4  
  121770.00045776367   1.0E-4  
  121820.00160217285   1.0E-4  
  121879.99725341797   1.0E-4  
  121940.00244140625   1.0E-4  
  121999.99809265137   1.0E-4  
  122060.00328063965   1.0E-4  
  122110.00442504883   1.0E-4  
  122170.00007629395   1.0E-4  
  122229.99572753906   1.0E-4  
  122290.00091552734   1.0E-4  
  122349.99656677246   0.0     
  122399.99771118164   0.0     
