# F150W
# photon
# Angstroems	Transmission JWST/NIRCam/F150W
17680	1.25E-05
17690	1.33E-05
17700	1.22E-05
17710	1.28E-05
17720	1.14E-05
17730	1.17E-05
17740	1.15E-05
17750	1.04E-05
17760	1.04E-05
17770	1.08E-05
17780	1.20E-05
17790	1.27E-05
17800	1.14E-05
17810	1.14E-05
17820	1.02E-05
17830	1.17E-05
17840	1.08E-05
17850	1.16E-05
17860	9.68E-06
17870	9.91E-06
17880	9.48E-06
17890	1.09E-05
17900	1.11E-05
17910	9.88E-06
17920	9.59E-06
17930	9.13E-06
17940	1.03E-05
17950	9.77E-06
17960	8.87E-06
17970	8.34E-06
17980	7.72E-06
17990	8.09E-06
18000	7.25E-06
18010	8.96E-06
18020	9.29E-06
18030	9.78E-06
18040	7.40E-06
18050	7.23E-06
18060	8.18E-06
18070	9.79E-06
18080	1.09E-05
18090	1.03E-05
18100	1.00E-05
18110	1.08E-05
18120	1.04E-05
18130	1.04E-05
18140	9.20E-06
18150	9.99E-06
18160	9.76E-06
18170	9.44E-06
18180	9.18E-06
18190	9.95E-06
18200	9.42E-06
18210	9.66E-06
18220	9.29E-06
18230	1.10E-05
18240	1.06E-05
18250	1.14E-05
18260	1.02E-05
18270	1.02E-05
18280	9.53E-06
18290	1.07E-05
18300	1.13E-05
18310	1.05E-05
18320	9.17E-06
18330	8.41E-06
18340	9.45E-06
18350	1.03E-05
18360	1.03E-05
18370	9.03E-06
18380	9.14E-06
18390	9.33E-06
18400	1.08E-05
18410	9.86E-06
18420	9.81E-06
18430	9.50E-06
18440	1.00E-05
18450	8.65E-06
18460	8.05E-06
18470	9.56E-06
18480	1.06E-05
18490	1.20E-05
18500	1.06E-05
18510	1.01E-05
18520	8.46E-06
18530	7.80E-06
18540	9.14E-06
18550	1.08E-05
18560	1.12E-05
18570	1.05E-05
18580	9.40E-06
18590	9.42E-06
18600	9.87E-06
18610	9.53E-06
18620	8.83E-06
18630	9.33E-06
18640	1.05E-05
18650	1.14E-05
18660	1.11E-05
18670	1.11E-05
18680	1.18E-05
18690	1.20E-05
18700	1.15E-05
18710	1.02E-05
18720	7.83E-06
18730	5.62E-06
18740	5.64E-06
18750	7.43E-06
18760	1.06E-05
18770	1.20E-05
18780	1.36E-05
18790	1.29E-05
18800	1.20E-05
18810	1.09E-05
18820	1.04E-05
18830	9.74E-06
18840	1.15E-05
18850	1.16E-05
18860	1.42E-05
18870	1.25E-05
18880	1.26E-05
18890	1.08E-05
18900	1.05E-05
18910	1.12E-05
18920	1.12E-05
18930	1.11E-05
18940	1.11E-05
18950	1.20E-05
18960	1.06E-05
18970	1.07E-05
18980	9.31E-06
18990	1.09E-05
19000	8.92E-06
19010	9.60E-06
19020	1.11E-05
19030	1.21E-05
19040	1.17E-05
19050	1.03E-05
19060	1.08E-05
19070	1.17E-05
19080	1.05E-05
19090	1.11E-05
19100	1.06E-05
19110	1.18E-05
19120	1.14E-05
19130	1.06E-05
