Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
6.245683058788269 4.04450397877065e-23 6.70524486051823e-15 6.642247050456584e-15 6.299781006164443e-17
6.257405133728602 4.035869085723203e-23 6.703487092398161e-15 6.640135651877465e-15 6.335144052069554e-17
6.269149208991335 3.981287404649662e-23 6.625239300303711e-15 6.5617394467658195e-15 6.34998535378899e-17
6.280915325867298 3.8462395055177255e-23 6.4125194585951464e-15 6.34912527736511e-15 6.339418123003975e-17
6.304513850009849 3.5139700223082834e-23 5.8805654555881905e-15 5.817612904147776e-15 6.295255144041316e-17
6.32820103803542 3.103859214595975e-23 5.213768152404131e-15 5.151502264546067e-15 6.226588785806323e-17
6.3519772230701035 2.728376798936709e-23 4.600263547562266e-15 4.5386066279438534e-15 6.165691961841332e-17
6.375842739491607 2.4119883865140776e-23 4.0820868648931825e-15 4.020959555384948e-15 6.112730950823376e-17
6.399797922933955 2.159820050434556e-23 3.6690468960854755e-15 3.60815717427938e-15 6.088972180609526e-17
6.42384311029221 1.9497784898794438e-23 3.3246783365307867e-15 3.2639681438977755e-15 6.071019263301113e-17
6.447978639727206 1.797433448019027e-23 3.076421531535184e-15 3.0156622749057794e-15 6.075925662940574e-17
6.472204850670314 1.670400321536463e-23 2.8697380267241564e-15 2.8088839552271695e-15 6.085407149698791e-17
6.496522083828205 1.5883823182196836e-23 2.7390842836764574e-15 2.6779493788843816e-15 6.11349047920762e-17
6.520930681187647 1.519319523368864e-23 2.629832785003319e-15 2.568388018589744e-15 6.144476641357511e-17
6.57002334288761 1.4493858728535983e-23 2.5276699743106775e-15 2.465345042756202e-15 6.232493155447585e-17
6.619489833774732 1.442946836358183e-23 2.53538713839646e-15 2.471966200866749e-15 6.342093752971099e-17
6.6693287637831435 1.470386642730035e-23 2.603053584971754e-15 2.538442379769212e-15 6.46112052025425e-17
6.719538636694507 1.5044420540339964e-23 2.6833934375645428e-15 2.6176241970813154e-15 6.576924048322827e-17
6.770126513364129 1.5891256904423306e-23 2.8557781483181458e-15 2.7887505456422007e-15 6.702760267594538e-17
6.8210952395837445 1.7170957415336156e-23 3.108980926132191e-15 3.0405468919389616e-15 6.843403419323009e-17
6.872447682569556 1.8781057151209813e-23 3.426106901486068e-15 3.3561215125293053e-15 6.998538895676426e-17
6.924186731123532 2.0809580142996735e-23 3.824736517280854e-15 3.7530612032594905e-15 7.167531402136442e-17
6.976315295795916 2.245891820683911e-23 4.1589563943943275e-15 4.085559611191881e-15 7.339678320244696e-17
7.028836309048954 2.272380493336672e-23 4.239688166521853e-15 4.164658227474218e-15 7.502993904763511e-17
7.081752725421856 2.2054786465815492e-23 4.145844881121709e-15 4.069215896263499e-15 7.662898485821e-17
7.135067521697011 2.1627879601538388e-23 4.0962029280335394e-15 4.0178052142319506e-15 7.839771380158991e-17
7.1887836970674375 2.2060183022599843e-23 4.20953340892443e-15 4.129079163279876e-15 8.045424564455369e-17
