Dust emission spectrum from A.P. Jones, M. Kohler, N. Ysard, M. Bocchio, and L. Verstraete (2017), A&A, 602A, 46J 
inside the DustPedia framework.

lambda    nu*dP/dnu     j_nu    j_nu(carb.) j_nu(sil)
 (um)   (erg s-1 H-1) (Jy cm2 sr-1 H-1)
3.1510058709225794 1.6181928403521688e-24 1.3534708936428582e-16 1.3534708934329415e-16 2.099165567892014e-26
3.162844764501044 1.830763083201295e-24 1.5370197793580517e-16 1.5370197791356082e-16 2.224438635373631e-26
3.1747281389236908 2.07800705213964e-24 1.7511485605415812e-16 1.7511485603059117e-16 2.3566937587430314e-26
3.1986289994194426 2.767751507221859e-24 2.349959617753213e-16 2.3499596174882615e-16 2.64952124952958e-26
3.2227097969389145 4.3936492231560096e-24 3.758512625561462e-16 3.7585126252591635e-16 3.0229897741589e-26
3.2348180950136065 5.9355565174263246e-24 5.096602248466267e-16 5.096602248139863e-16 3.264029221671239e-26
3.240889293275058 7.088310475031322e-24 6.097844719434721e-16 6.097844719093494e-16 3.412260366624145e-26
3.2469718861334385 8.421839525138423e-24 7.258634410481751e-16 7.258634410123703e-16 3.580462366078805e-26
3.2714166318528037 1.5535431554521463e-23 1.3490517580988265e-15 1.3490517580552792e-15 4.3547313256257234e-26
3.2744851364798273 1.5980050047266837e-23 1.3889627271867768e-15 1.388962727142413e-15 4.436382027571052e-26
3.2775565192852394 1.6437440492631143e-23 1.4300585411333883e-15 1.4300585410881933e-15 4.5194997811815345e-26
3.283707930232385 1.5997290890027947e-23 1.3943775979988841e-15 1.3943775979527393e-15 4.614487660771553e-26
3.2898708863219004 1.4601905929283636e-23 1.275139894109852e-15 1.2751398940633248e-15 4.6527443188338764e-26
3.29141343181113 1.4272846101692428e-23 1.2469885138152215e-15 1.246988513768598e-15 4.6623417495559065e-26
3.292184975758714 1.411115875404739e-23 1.2331512272992368e-15 1.2331512272525656e-15 4.6671454711165335e-26
3.295272960557952 1.3090558294710011e-23 1.1450356195332529e-15 1.145035619486513e-15 4.673967975657192e-26
3.3076538914384823 9.55512622929606e-24 8.389303787395966e-16 8.389303786926513e-16 4.694528713185571e-26
3.310756385682612 8.835633232485581e-24 7.764872669045146e-16 7.764872668575179e-16 4.6996704701122e-26
3.313861789986515 8.171810186137185e-24 7.18823215525783e-16 7.188232154787349e-16 4.7048134497839525e-26
3.3200813396944477 7.240844363422587e-24 6.381273657998474e-16 6.381273657523526e-16 4.7494904081803536e-26
3.345076488085796 5.579876981522752e-24 4.954503163228188e-16 4.954503162714268e-16 5.139196105533363e-26
3.3482140837626964 5.642100681352295e-24 5.014452059809583e-16 5.014452059288286e-16 5.212971300326589e-26
3.3513546224236106 5.7050124651839535e-24 5.075121171028024e-16 5.075121170499249e-16 5.287739338600167e-26
3.3576445397418455 6.165003464748888e-24 5.494617629967866e-16 5.49461762942061e-16 5.472564686330991e-26
3.3702598118196083 7.861847921231545e-24 7.033272648566141e-16 7.033272647974197e-16 5.919455858551814e-26
3.382922481734668 8.248053885302603e-24 7.40649900528395e-16 7.406499004655379e-16 6.285702500002314e-26
3.389271646505754 8.448134868984497e-24 7.600403512580982e-16 7.600403511933309e-16 6.476742513220529e-26
3.395632727569191 8.663701966790242e-24 7.808968083828974e-16 7.808968083160662e-16 6.683100420389774e-26
3.421196662673239 9.698674344029018e-24 8.807645977103925e-16 8.807645976344943e-16 7.589788828790625e-26
3.4276182099114902 9.489764744696283e-24 8.634104897958472e-16 8.634104897183373e-16 7.750976208536903e-26
3.4340518103208963 8.574935218451193e-24 7.816406261476723e-16 7.816406260689493e-16 7.872301712614358e-26
3.4469541582030403 7.272104096569111e-24 6.653727761967829e-16 6.653727761162106e-16 8.057241237071142e-26
3.472904465399547 6.906742576792406e-24 6.36701010754782e-16 6.367010106666288e-16 8.815298876644598e-26
3.4990501388274233 6.348085723808836e-24 5.896066613029724e-16 5.896066612068686e-16 9.610404287564722e-26
3.5253949054701885 4.3607147206583836e-24 4.080702006470723e-16 4.0807020054489296e-16 1.0217931763310175e-25
3.5519380250092896 2.4932079845090753e-24 2.3506789679490984e-16 2.3506789668699687e-16 1.0791294570984962e-25
3.578680990867387 1.75272277675359e-24 1.6649670757287975e-16 1.664967074561518e-16 1.1672800194891534e-25
3.605625307711299 1.4531375533079838e-24 1.390774607343783e-16 1.3907746060686788e-16 1.275104013279597e-25
3.660119384959845 1.2344040922779974e-24 1.199283993237496e-16 1.1992839917061415e-16 1.531354656653066e-25
3.715437065384467 1.0794951314954151e-24 1.0646332615512095e-16 1.0646332597166818e-16 1.8345276358266967e-25
3.8285932144167436 1.0004354110748386e-24 1.016711448332133e-16 1.0167114457051767e-16 2.626956168882653e-25
3.94519561050918 9.847613462895215e-25 1.0312618873380827e-16 1.0312618836104303e-16 3.727652366713339e-25
4.06534921144712 9.950900762158098e-25 1.0738155418102051e-16 1.0738155365699077e-16 5.240297544381834e-25
4.189162171576248 1.0204520158573084e-24 1.1347212661112175e-16 1.1347212588117938e-16 7.299423440359209e-25
4.316745939156006 1.056750912165195e-24 1.2108728832758025e-16 1.2108728731973208e-16 1.0078481745784897e-24
4.448215356677963 1.1025999970091824e-24 1.301886804356407e-16 1.301886790557681e-16 1.3798726058298825e-24
4.58368876423945 1.1581449247550451e-24 1.4091183239756308e-16 1.4091183052344061e-16 1.874122479153143e-24
4.723288106065518 1.2246622360744158e-24 1.535430616252991e-16 1.535430590990849e-16 2.5262142111048837e-24
4.867139040275056 1.3047263778247136e-24 1.6856314619427967e-16 1.685631428129682e-16 3.38131151358479e-24
4.940699165968905 1.3530899275498207e-24 1.774534736824335e-16 1.7745346977948855e-16 3.902944908632712e-24
5.015371051989984 1.4031576104975272e-24 1.8680089734225386e-16 1.868008928453085e-16 4.49694535050512e-24
5.091171501069577 1.4643510943049305e-24 1.9789388569183578e-16 1.9789388051572446e-16 5.176111353247079e-24
5.129500256944802 1.4957510645349486e-24 2.0365909499969282e-16 2.036590894501773e-16 5.54951550882912e-24
5.168117569889187 1.5284905628430056e-24 2.096836556806665e-16 2.0968364973298401e-16 5.9476824780046645e-24
5.20702561229733 1.5687445323533846e-24 2.168260070195912e-16 2.168260006438736e-16 6.375717605419971e-24
5.246226572918644 1.6100240667666448e-24 2.2420683285330686e-16 2.2420682602174436e-16 6.83156254398314e-24
5.265937586045735 1.6310586621086867e-24 2.279894345352485e-16 2.2798942746483563e-16 7.070412866595721e-24
5.285722656980489 1.6523621178318007e-24 2.3183501756213477e-16 2.318350102453101e-16 7.316824676255941e-24
5.305582063971359 1.6739387811259257e-24 2.3574475575693294e-16 2.3574474818592126e-16 7.571011617157802e-24
5.3255160863122235 1.697132115785507e-24 2.3990913553416434e-16 2.399091276999367e-16 7.834227671777322e-24
5.365609099470188 1.7549961974579855e-24 2.499566196329384e-16 2.4995661123888415e-16 8.394054192473875e-24
5.406003951863644 1.815068697124024e-24 2.6045869416218844e-16 2.6045868517218165e-16 8.990006770673146e-24
5.446702915881641 1.8774567830893633e-24 2.7143951440829024e-16 2.7143950478413085e-16 9.624159342100103e-24
5.487708281020852 1.94489540373815e-24 2.8330660505492615e-16 2.83306594753456e-16 1.0301470149993123e-23
5.529022354014368 2.0388085649363025e-24 2.9922248696965237e-16 2.9922247592246935e-16 1.1047182945088863e-23
5.570647458961463 2.138281396449754e-24 3.161840553318293e-16 3.1618404349012e-16 1.1841709267705932e-23
5.612585937458331 2.243715501763882e-24 3.3427217356468786e-16 3.3427216087679455e-16 1.2687893303392079e-23
5.654840148729818 2.3596590609848997e-24 3.5419222500993584e-16 3.5419221141567557e-16 1.3594260289391766e-23
5.67608639626678 2.4387178254260774e-24 3.674345434546228e-16 3.674345293608603e-16 1.4093762361683112e-23
5.686739436050992 2.4794737735567926e-24 3.7427626036178825e-16 3.7427624601204393e-16 1.4349744304868062e-23
5.6974124697621304 2.5210735857409766e-24 3.8126998469015253e-16 3.812699700801898e-16 1.4609962672600244e-23
5.718818669136295 2.6068862828782175e-24 3.9572897136540405e-16 3.957289562220431e-16 1.5143360999448688e-23
5.740305295436557 2.701508129000774e-24 4.116334912385991e-16 4.1163347553574706e-16 1.570285205156146e-23
5.7835210386641895 2.947152367980976e-24 4.524434884929063e-16 4.52443471545622e-16 1.694728432295569e-23
5.827062130521658 3.230249520806302e-24 4.996376448144839e-16 4.996376265144445e-16 1.8300039322137977e-23
5.8489554468988025 3.428960970311861e-24 5.323659718331681e-16 5.323659527374864e-16 1.9095681818472148e-23
5.870931020387893 3.642243710514139e-24 5.676039548657149e-16 5.676039349423905e-16 1.992332446098135e-23
5.892989160043636 3.87127201091988e-24 6.055622067228791e-16 6.055621859387351e-16 2.0784143958206543e-23
5.915130176081913 4.131799386309731e-24 6.487434209075804e-16 6.487433991977755e-16 2.1709804784512095e-23
5.95966208400165 4.8604875985147575e-24 7.689018540730753e-16 7.689018301072055e-16 2.3965869759070186e-23
6.004529249263818 5.9111444847554734e-24 9.421498267338267e-16 9.4214979990858e-16 2.682524646872505e-23
6.027089341400364 6.641622766434052e-24 1.0625546274029463e-15 1.0625545987535888e-15 2.864935717061924e-23
6.049734195844842 7.504981534944874e-24 1.205189542989815e-15 1.2051895122961949e-15 3.069361987108221e-23
6.095279466722835 9.999177773035104e-24 1.617809366176131e-15 1.6178093299325302e-15 3.624360057809607e-23
6.141167624020661 1.3838187202569486e-23 2.255794773790629e-15 2.255794729472759e-15 4.431786992044391e-23
6.164241091010745 1.6289717844361377e-23 2.6654013364224014e-15 2.6654012867898675e-15 4.963253431655294e-23
6.187401249150058 1.908263515579078e-23 3.1341231746140387e-15 3.1341231191090845e-15 5.550495470681043e-23
6.1990139391386085 2.044629059875705e-23 3.364391871222104e-15 3.3643918126923506e-15 5.852975286564035e-23
6.204828454712694 2.1164638770146958e-23 3.485861057157789e-15 3.4858609970544368e-15 6.010335223079126e-23
6.210648424152782 2.1688946633130322e-23 3.5755663246423026e-15 3.5755662632307165e-15 6.1411586691756e-23
6.233982942956859 2.3470113755508055e-23 3.8837407979366555e-15 3.883740731875798e-15 6.606085776352341e-23
6.239830258556775 2.3697707448630546e-23 3.92508026863085e-15 3.925080201926579e-15 6.670427149839113e-23
6.245683058788269 2.3717259502932337e-23 3.93200336116253e-15 3.93200329380908e-15 6.735345041909356e-23
6.257405133728602 2.3667902940354578e-23 3.9311850432920814e-15 3.9311849748028976e-15 6.848918391229569e-23
6.269149208991335 2.331703319401415e-23 3.880175153972901e-15 3.880175085117215e-15 6.885568429829117e-23
6.280915325867298 2.2437778243245993e-23 3.740866614937707e-15 3.7408665466721944e-15 6.826551227838691e-23
6.304513850009849 2.02697689783711e-23 3.392109280678004e-15 3.392109214484106e-15 6.61938985571456e-23
6.32820103803542 1.758271562461309e-23 2.9534910064636778e-15 2.953490943456665e-15 6.300701251439077e-23
6.3519772230701035 1.5118536072978738e-23 2.549107235339843e-15 2.5491071753490144e-15 5.999082899703311e-23
6.375842739491607 1.3045583089716536e-23 2.2078548832637054e-15 2.2078548259228005e-15 5.734090441614567e-23
6.399797922933955 1.1383980577481554e-23 1.933881417320033e-15 1.93388136176818e-15 5.555185341194819e-23
6.42384311029221 1.0002585512222172e-23 1.7055978171057756e-15 1.7055977630673645e-15 5.403841116970191e-23
6.447978639727206 8.995754339106615e-24 1.539680502314526e-15 1.5396804489842253e-15 5.333030063239522e-23
6.472204850670314 8.1570274377298e-24 1.4013725644852577e-15 1.4013725116616628e-15 5.282359485416022e-23
6.496522083828205 7.611717028323162e-24 1.312601773824888e-15 1.3126017208053015e-15 5.30195864380263e-23
6.520930681187647 7.152315966878645e-24 1.2380144353501856e-15 1.2380143820046391e-15 5.334554633252836e-23
6.57002334288761 6.681959891598753e-24 1.1653066104673163e-15 1.1653065553678e-15 5.509951632091193e-23
6.619489833774732 6.632399408748258e-24 1.165372121407421e-15 1.165372063434206e-15 5.79732148704518e-23
6.6693287637831435 6.811242226242896e-24 1.205807233273937e-15 1.2058071717604536e-15 6.151348356856511e-23
6.719538636694507 7.040188378958991e-24 1.2557210325689163e-15 1.2557209674047496e-15 6.516416684856322e-23
6.770126513364129 7.61499326710888e-24 1.368471449589754e-15 1.3684713798346491e-15 6.975510492294821e-23
6.8210952395837445 8.484228146246162e-24 1.5361579929185801e-15 1.5361579174080512e-15 7.55105288146852e-23
6.872447682569556 9.579176417311385e-24 1.7474672575493983e-15 1.7474671750840357e-15 8.246536261242759e-23
6.924186731123532 1.0965147278774609e-23 2.015360181527071e-15 2.0153600908217166e-15 9.070535438011584e-23
6.976315295795916 1.2091129264408825e-23 2.2390428117035665e-15 2.2390427125910477e-15 9.911251945547072e-23
7.028836309048954 1.2253064804883875e-23 2.286112471446694e-15 2.2861123652477678e-15 1.0619892598964284e-22
7.081752725421856 1.1761073504874098e-23 2.2108391963918985e-15 2.21083908395844e-15 1.1243345865952906e-22
7.135067521697011 1.1431636441393717e-23 2.1650898528268632e-15 2.1650897328668147e-15 1.1996004828021425e-22
7.1887836970674375 1.169214942216626e-23 2.231100873656524e-15 2.231100743411336e-15 1.3024518756465253e-22
7.242904273305506 1.2634946443342963e-23 2.4291569942051248e-15 2.4291568500693022e-15 1.4413582274411312e-22
7.297432294932914 1.413099277391166e-23 2.7372356123997136e-15 2.7372354504858384e-15 1.6191387532286655e-22
7.352370829391971 1.58417812258864e-23 3.0917249291816278e-15 3.0917247461089578e-15 1.8307266996958541e-22
7.379995003818881 1.6907566867993375e-23 3.3121242054015593e-15 3.3121240096347005e-15 1.9576685886844199e-22
7.407722967218148 1.80836165502653e-23 3.5558174339310256e-15 3.555817224328013e-15 2.0960301315439368e-22
7.463496598684601 2.1070954673213737e-23 4.174418487577497e-15 4.174418244459008e-15 2.431184889438735e-22
7.519690156487492 2.49423266730885e-23 4.978589767307159e-15 4.978589481512421e-15 2.857947373137759e-22
